Date,Average Daily Wind Speed (mph),Precipitation (in),Average Relative Humidity (%),Average Temperature (F),Maximum Temperature (F),Minimum Temperature (F)
9/12/2013,3.8,0,58,84,98,72
9/13/2013,2.91,0,51,85,99,72
9/14/2013,4.25,0,56,85,96,75
9/15/2013,7.38,0,63,84,96,74
9/16/2013,6.93,0,65,85,96,75
9/17/2013,7.16,0,61,85,98,75
9/18/2013,6.04,0,61,85,98,74
9/19/2013,8.28,0.11,73,84,96,75
9/20/2013,7.83,2.97,99,76,78,71
9/21/2013,12.08,0.01,71,74,85,70
9/22/2013,9.17,0,45,75,87,62
9/23/2013,4.7,0,56,78,89,69
9/24/2013,5.37,0,55,82,96,71
9/25/2013,2.24,0,46,82,96,67
9/26/2013,5.82,0,56,80,93,67
9/27/2013,8.95,0,74,80,91,72
9/28/2013,8.5,0.84,84,81,93,74
9/29/2013,4.47,1.16,93,73,76,68
9/30/2013,2.01,0,74,76,86,70
10/1/2013,7.16,0,,79,91,73
10/2/2013,6.93,0.64,,77,83,73
10/3/2013,6.49,0,,79,88,73
10/4/2013,7.61,0,,80,89,72
10/5/2013,8.95,0,,79,89,60
10/6/2013,7.83,0.1,,67,81,56
10/7/2013,4.7,0,,66,83,52
10/8/2013,2.01,0,,67,83,53
10/9/2013,3.8,0,,69,83,56
10/10/2013,6.71,0,,72,85,61
10/11/2013,9.62,0,,77,87,68
10/12/2013,7.61,0.03,,79,89,71
10/13/2013,7.61,4.29,,72,76,67
10/14/2013,7.61,0.06,,74,83,69
10/15/2013,6.26,0.03,,76,85,64
10/16/2013,8.72,0.35,,62,64,58
10/17/2013,5.59,0,,62,73,54
10/18/2013,5.37,0,,63,71,57
10/19/2013,9.62,0,,62,67,51
10/20/2013,4.7,0,,58,73,44
10/21/2013,5.59,0.2,,67,80,57
10/22/2013,8.28,0,,65,74,53
10/23/2013,1.34,0,,63,81,50
10/24/2013,1.57,0,,66,82,52
10/25/2013,6.26,0,,65,77,55
10/26/2013,8.5,0,,66,81,53
10/27/2013,3.8,1.4,,67,71,61
10/28/2013,7.61,0,,70,83,64
10/29/2013,11.18,0,,75,84,69
10/30/2013,10.51,0.5,,75,84,71
10/31/2013,8.05,1.5,,75,81,57
11/1/2013,5.82,0,62,64,79,51
11/2/2013,8.72,0,54,63,72,49
11/3/2013,7.38,0,63,56,69,46
11/4/2013,7.83,0.31,86,61,69,56
11/5/2013,6.26,0.37,97,66,72,63
11/6/2013,9.4,0.19,86,67,72,49
11/7/2013,9.4,0,60,54,66,43
11/8/2013,5.37,0,59,57,65,51
11/9/2013,4.25,0.05,76,58,66,54
11/10/2013,4.92,0,70,61,72,54
11/11/2013,2.01,0,70,60,73,50
11/12/2013,12.53,0,73,56,60,42
11/13/2013,7.38,0,53,45,55,35
11/14/2013,5.14,0,71,46,61,34
11/15/2013,5.82,0,77,60,77,51
11/16/2013,10.51,0,88,68,80,61
11/17/2013,6.71,0,81,76,84,68
11/18/2013,7.38,0,67,71,80,63
11/19/2013,7.38,0,51,63,70,54
11/20/2013,7.16,0.01,69,60,70,50
11/21/2013,7.83,1.13,94,71,79,67
11/22/2013,14.32,0.77,92,54,73,39
11/23/2013,14.32,0.02,90,41,46,39
11/24/2013,11.18,0.38,75,42,45,36
11/25/2013,9.84,1.33,94,38,40,37
11/26/2013,11.41,0.01,85,39,45,38
11/27/2013,7.38,0,61,40,48,31
11/28/2013,2.24,0,71,39,54,30
11/29/2013,2.68,0,71,46,62,35
11/30/2013,4.92,0,73,52,67,41
12/1/2013,6.93,0,82,61,71,54
12/2/2013,5.82,0,72,65,77,52
12/3/2013,8.5,0,77,65,81,53
12/4/2013,10.51,0,86,68,77,62
12/5/2013,13.65,0,82,57,71,34
12/6/2013,15.66,0.04,87,35,37,31
12/7/2013,10.74,0,86,30,32,29
12/8/2013,2.46,0,89,34,43,30
12/9/2013,10.74,0.02,95,40,42,33
12/10/2013,7.61,0,69,35,45,28
12/11/2013,4.03,0,67,39,54,30
12/12/2013,4.92,0,67,42,54,33
12/13/2013,4.7,0.14,83,45,51,39
12/14/2013,11.86,0,87,49,52,35
12/15/2013,3.58,0,70,40,58,28
12/16/2013,4.25,0,61,45,64,32
12/17/2013,2.01,0,64,50,69,34
12/18/2013,5.37,0,71,52,69,38
